YEAR,DATE,SITE,DEPTH,REP,TAXA,SIZE,Count,FRACTION_SORTED,SOURCE
1982,1982-10-17,BC 1,10,2,Crabs,9.13,1,1,ROUGH
1982,1982-10-19,Diablo,10,3,Crabs,2,1,1,ROUGH
1982,1982-10-19,Diablo,10,4,Crabs,8.3,1,1,ROUGH
1982,1982-10-19,Diablo,10,5,Crabs,13,1,1,ROUGH
1982,1982-10-21,Twin W,10,9,Crabs,10,1,1,ROUGH
1982,1982-10-21,Twin W,10,12,Crabs,10,1,1,ROUGH
1983,1983-04-29,BC 1,10,9,Crabs,5.36,1,1,ROUGH
1983,1983-04-29,BC 1,10,10,Crabs,10.2,1,1,ROUGH
1983,1983-04-29,BC 1,10,12,Crabs,1.5,1,1,ROUGH
1986,1986-03-20,Twin E,10,2,Crabs,1.2,1,1,ROUGH
1987,1987-10-28,Frys I,10,2,Crabs,110,1,1,ROUGH
1989,1989-09-18,BC 1,10,1,Crabs,3.67,1,1,ROUGH
1989,1989-09-18,BC 1,10,2,Crabs,5,1,1,ROUGH
1989,1989-09-18,BC 1,10,3,Crabs,4.17,1,1,ROUGH
1989,1989-09-18,BC 1,10,4,Crabs,8.83,1,1,ROUGH
1989,1989-09-18,BC 1,10,5,Crabs,7.17,1,1,ROUGH
1989,1989-09-18,BC 1,10,6,Crabs,3.28,1,1,ROUGH
1989,1989-09-18,BC 1,10,7,Crabs,7,1,1,ROUGH
1989,1989-09-18,BC 1,10,8,Crabs,8.5,1,1,ROUGH
1989,1989-09-18,BC 1,10,9,Crabs,5.83,1,1,ROUGH
1989,1989-09-18,BC 1,10,10,Crabs,6.5,1,1,ROUGH
1989,1989-09-18,BC 2,10,1,Crabs,7,1,1,ROUGH
1989,1989-09-18,BC 2,10,2,Crabs,4.17,1,1,ROUGH
1989,1989-09-18,BC 2,10,3,Crabs,7.5,1,1,ROUGH
1989,1989-09-18,BC 2,10,4,Crabs,9.5,1,1,ROUGH
1989,1989-09-18,BC 2,10,5,Crabs,5,1,1,ROUGH
1989,1989-09-18,BC 2,10,6,Crabs,5.83,1,1,ROUGH
1989,1989-09-18,BC 2,10,7,Crabs,11.17,1,1,ROUGH
1989,1989-09-18,BC 2,10,8,Crabs,8.83,1,1,ROUGH
1989,1989-09-18,BC 2,10,9,Crabs,3.83,1,1,ROUGH
1989,1989-09-18,BC 2,10,10,Crabs,7.5,1,1,ROUGH
1989,1989-09-18,BC Point,10,1,Crabs,5.33,1,1,ROUGH
1989,1989-09-18,BC Point,10,2,Crabs,9.33,1,1,ROUGH
1989,1989-09-18,BC Point,10,3,Crabs,8.33,1,1,ROUGH
1989,1989-09-18,BC Point,10,4,Crabs,5.83,1,1,ROUGH
1989,1989-09-18,BC Point,10,5,Crabs,5.5,1,1,ROUGH
1989,1989-09-18,BC Point,10,6,Crabs,5.17,1,1,ROUGH
1989,1989-09-18,BC Point,10,7,Crabs,6,1,1,ROUGH
1989,1989-09-18,BC Point,10,8,Crabs,6.67,1,1,ROUGH
1989,1989-09-18,BC Point,10,9,Crabs,9,1,1,ROUGH
1989,1989-09-18,BC Point,10,10,Crabs,13,1,1,ROUGH
1989,1989-09-29,Fern 1,10,1,Crabs,7,1,1,ROUGH
1989,1989-09-29,Fern 1,10,2,Crabs,6.17,1,1,ROUGH
1989,1989-09-29,Fern 1,10,3,Crabs,17.84,1,1,ROUGH
1989,1989-09-29,Fern 1,10,4,Crabs,5.17,1,1,ROUGH
1989,1989-09-29,Fern 1,10,5,Crabs,14.83,1,1,ROUGH
1989,1989-09-29,Fern 1,10,6,Crabs,1.76,1,1,ROUGH
1989,1989-09-29,Fern 1,10,7,Crabs,9.33,1,1,ROUGH
1989,1989-09-29,Fern 1,10,8,Crabs,5.44,1,1,ROUGH
1989,1989-09-29,Fern 1,10,9,Crabs,5.5,1,1,ROUGH
1989,1989-09-29,Fern 1,10,10,Crabs,5.67,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,1,Crabs,8.33,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,2,Crabs,7.5,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,3,Crabs,8.67,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,4,Crabs,9.67,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,5,Crabs,4.83,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,6,Crabs,5,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,7,Crabs,6.17,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,8,Crabs,7.17,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,9,Crabs,8.67,1,1,ROUGH
1989,1989-09-29,FRYS 1,10,10,Crabs,8.67,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,1,Crabs,8.5,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,2,Crabs,5,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,3,Crabs,6,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,4,Crabs,6.17,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,5,Crabs,7,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,6,Crabs,8.67,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,7,Crabs,6,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,8,Crabs,6.83,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,9,Crabs,2.5,1,1,ROUGH
1989,1989-09-29,FRYS 3,10,10,Crabs,8.17,1,1,ROUGH
1990,1990-04-07,BC 2,10,1,Crabs,6,1,1,ROUGH
1990,1990-04-07,BC 2,10,2,Crabs,6.17,1,1,ROUGH
1990,1990-04-07,BC 2,10,3,Crabs,4.67,1,1,ROUGH
1990,1990-04-07,BC 2,10,4,Crabs,5.83,1,1,ROUGH
1990,1990-04-07,BC 2,10,6,Crabs,3.5,1,1,ROUGH
1990,1990-04-07,BC 2,10,7,Crabs,7.83,1,1,ROUGH
1990,1990-04-07,BC 2,10,9,Crabs,10.83,1,1,ROUGH
1990,1990-04-07,BC Point,10,3,Crabs,6.5,1,1,ROUGH
1990,1990-04-07,BC Point,10,4,Crabs,5.33,1,1,ROUGH
1990,1990-04-07,BC Point,10,5,Crabs,7.83,1,1,ROUGH
1990,1990-04-07,BC Point,10,6,Crabs,5.12,1,1,ROUGH
1990,1990-04-07,BC Point,10,7,Crabs,5.5,1,1,ROUGH
1990,1990-04-07,BC Point,10,8,Crabs,11.67,1,1,ROUGH
1990,1990-04-07,BC Point,10,9,Crabs,9.67,1,1,ROUGH
1990,1990-04-07,BC Point,10,10,Crabs,11.33,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,1,Crabs,3.83,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,2,Crabs,6.83,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,3,Crabs,6.33,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,4,Crabs,9.5,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,5,Crabs,8.33,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,6,Crabs,6.67,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,7,Crabs,8.83,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,8,Crabs,3.67,1,1,ROUGH
1990,1990-04-07,FRYS 1,10,9,Crabs,6.83,1,1,ROUGH
