taxa,kingdom,phylum,subphylum,class,subclass,order,Infraorder,superfamily,family,genus,species
amphipod,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,
anemone,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Actiniaria,,,,,
anthuroid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,Anthuroidea,,,
barnacle,Animalia,Arthropoda,Crustacea,Thecostraca,Cirripedia,,,,,,
bivalve,Animalia,Mollusca,,Bivalvia,,,,,,,
brittle star,Animalia,Echinodermata,Asterozoa,Ophiuroidea,,,,,,,
bryozoan,Animalia,Bryozoa,,,,,,,,,
calanoid,Animalia,Arthropoda,Crustacea,Copepoda,,Calanoida,,,,,
caprellid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,Caprelloidea,Caprellidae,,
chiton,Animalia,Mollusca,,Polyplacophora,,,,,,,
cirolanid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,Cymothooidea,Cirolanidae,,
coleoptera,Animalia,Arthropoda,Crustacea,Hexapoda,Insecta,Coleoptera,,,,,
copepod,Animalia,Arthropoda,Crustacea,Copepoda,,,,,,,
crab,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,,,,,
crustacean,Animalia,Arthropoda,Crustacea,,,,,,,,
cucumaria,Animalia,Echinodermata,Echinozoa,Holothuroidea,Actinopoda,Dendrochirotida,,,Cucumariidae,Cucumaria,
cumacean,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Cumacea,,,,,
cyclopoid,Animalia,Arthropoda,Crustacea,Copepoda,,Cyclopodia,,,,,
cyprid,,,,,,,,,,,
eupentacta,Animalia,Echinodermata,Echinozoa,Holothuroidea,Actinopoda,Dendrochirotida,,,Sclerodactylidae,Eupentacta,
fish,Animalia,Chordata,Vertebrata,,,,,,,,
flatworm,Animalia,Platyhelminthes,,,,,,,,,
gammarid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,Gammaroidea,Gammaridae,,
gastropod,Animalia,Mollusca,,Gastropoda,,,,,,,
gnathiid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,Cymothooidea,Gnathiidae,,
harpacticoid,Animalia,Arthropoda,Crustacea,Copepoda,,Harpacticoida,,,,,
hermit crab,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,,Paguroidea,,,
heterobranch,Animalia,Mollusca,,Gastropoda,Heterobranchia,,,,,,
idotea,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,,Idoteidae,Idotea,
insect,Animalia,Arthropoda,Crustacea,Hexapoda,,,,,,,
isopod,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,,,,
jaeropsid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,Janiroidea,Joeropsididae,,
janirid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,Janiroidea,Janiridae,,
leptostracan,Animalia,Arthropoda,Crustacea,Malacostraca,Phyllocarida,Leptostraca,,,,,
limpet,Animalia,Mollusca,,Gastropoda,Patellogastropoda,,,,,,
lobster,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,,Nephropoidea,Nephropidae,,
lrs,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Caridea,,,,
munnidae,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,Janiroidea,Munnidae,,
mysid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Mysida,,,Mysidae,,
nematode,Animalia,Nematoda,,,,,,,,,
nemertean,Animalia,Nemertea,,,,,,,,,
nudibranch,Animalia,Mollusca,,Gastropoda,Heterobranchia,Nudibranchia,,,,,
octopus,Animalia,Mollusca,,Cephalopoda,Coleoidea,Octopoda,,,,,
oligochaete,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,
ostracod,Animalia,Arthropoda,Crustacea,Ostracoda,,,,,,,
Pachythyone rubra,Animalia,Echinodermata,Echinozoa,Holothuroidea,Actinopoda,Dendrochirotida,,,Sclerodactylidae,Pachythyone,rubra
phoronid,Animalia,Phoronida,,,,,,,,,
polychaete,Animalia,Annelida,,Polychaeta,,,,,,,
scaphopod,Animalia,Mollusca,,Scaphopoda,,,,,,,
sea mite,Animalia,Arthropoda,Crustacea,Copepoda,,Siphonostomatoida,,,Caligidae,,
sea spider,Animalia,Arthropoda,Chelicerata,Pycnogonida,,,,,,,
sea star,Animalia,Echinodermata,Asterozoa,Asteroidea,,,,,,,
shrimp,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,,,,,
sipunc,Animalia,Annelida,,,,Sipuncula,,,,,
sphaeromatid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,Sphaeromatoidea,Sphaeromatidae,,
sponge,Animalia,Porifera,,,,,,,,,
srs,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Caridea,,,,
tanaid,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Tanaidacea,,,,,
tunicate,Animalia,Chordata,Tunicata,,,,,,,,
unknown,Animalia,,,,,,,,,,
unknown worm,Animalia,,,,,,,,,,
urchin,Animalia,Echinodermata,Echinozoa,Echinoidea,Euechinoidea,Camarodonta,,Odontophora,Strongylocentrotidae,Strongylocentrotus,
